n_subjects,seed,rule,model,apcer,bpcer,acer,accuracy,roc_auc
8,95070,eer,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.869140625
8,95070,eer,M1_pls,0.125,0.125,0.125,0.875,0.94140625
8,95070,class_midpoint,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.869140625
8,95070,class_midpoint,M1_pls,0.0,0.4375,0.21875,0.8541666666666666,0.94140625
8,95070,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.869140625
8,95070,fixed_zero,M1_pls,0.03125,0.25,0.140625,0.8958333333333334,0.94140625
8,102989,min_acer,B1_static2d,0.0,0.0,0.0,1.0,1.0
8,102989,min_acer,M1_pls,0.0,0.0,0.0,1.0,1.0
8,102989,min_acer_mid,B1_static2d,0.0,0.0,0.0,1.0,1.0
8,102989,min_acer_mid,M1_pls,0.0,0.0,0.0,1.0,1.0
8,102989,eer,B1_static2d,0.0,0.0,0.0,1.0,1.0
8,102989,eer,M1_pls,0.0,0.0,0.0,1.0,1.0
8,102989,class_midpoint,B1_static2d,0.0,0.1875,0.09375,0.9375,1.0
8,102989,class_midpoint,M1_pls,0.0,0.0625,0.03125,0.9791666666666666,1.0
8,102989,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,1.0
8,102989,fixed_zero,M1_pls,0.0,0.0,0.0,1.0,1.0
8,110908,min_acer,B1_static2d,0.0625,0.1875,0.125,0.8958333333333334,0.8671875
8,110908,min_acer,M1_pls,0.09375,0.125,0.109375,0.8958333333333334,0.9921875
8,110908,min_acer_mid,B1_static2d,0.0625,0.1875,0.125,0.8958333333333334,0.8671875
8,110908,min_acer_mid,M1_pls,0.09375,0.125,0.109375,0.8958333333333334,0.9921875
8,110908,eer,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.8671875
8,110908,eer,M1_pls,0.0625,0.125,0.09375,0.9166666666666666,0.9921875
8,110908,class_midpoint,B1_static2d,0.0625,0.25,0.15625,0.875,0.8671875
8,110908,class_midpoint,M1_pls,0.0,0.3125,0.15625,0.8958333333333334,0.9921875
8,110908,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.8671875
8,110908,fixed_zero,M1_pls,0.0,0.125,0.0625,0.9583333333333334,0.9921875
8,118827,min_acer,B1_static2d,0.125,0.1875,0.15625,0.8541666666666666,0.91015625
8,118827,min_acer,M1_pls,0.125,0.0,0.0625,0.9166666666666666,0.955078125
8,118827,min_acer_mid,B1_static2d,0.125,0.1875,0.15625,0.8541666666666666,0.91015625
8,118827,min_acer_mid,M1_pls,0.125,0.0,0.0625,0.9166666666666666,0.955078125
8,118827,eer,B1_static2d,0.09375,0.125,0.109375,0.8958333333333334,0.91015625
8,118827,eer,M1_pls,0.125,0.125,0.125,0.875,0.955078125
8,118827,class_midpoint,B1_static2d,0.03125,0.1875,0.109375,0.9166666666666666,0.91015625
8,118827,class_midpoint,M1_pls,0.0625,0.375,0.21875,0.8333333333333334,0.955078125
8,118827,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.91015625
8,118827,fixed_zero,M1_pls,0.125,0.0625,0.09375,0.8958333333333334,0.955078125
8,126746,min_acer,B1_static2d,0.03125,0.25,0.140625,0.8958333333333334,0.79296875
8,126746,min_acer,M1_pls,0.375,0.3125,0.34375,0.6458333333333334,0.912109375
8,126746,min_acer_mid,B1_static2d,0.03125,0.25,0.140625,0.8958333333333334,0.79296875
8,126746,min_acer_mid,M1_pls,0.375,0.3125,0.34375,0.6458333333333334,0.912109375
8,126746,eer,B1_static2d,0.1875,0.25,0.21875,0.7916666666666666,0.79296875
8,126746,eer,M1_pls,0.28125,0.25,0.265625,0.7291666666666666,0.912109375
8,126746,class_midpoint,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.79296875
8,126746,class_midpoint,M1_pls,0.0,0.5,0.25,0.8333333333333334,0.912109375
8,126746,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.79296875
8,126746,fixed_zero,M1_pls,0.0625,0.25,0.15625,0.875,0.912109375
8,134665,min_acer,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.912109375
8,134665,min_acer,M1_pls,0.09375,0.25,0.171875,0.8541666666666666,0.939453125
8,134665,min_acer_mid,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.912109375
8,134665,min_acer_mid,M1_pls,0.09375,0.25,0.171875,0.8541666666666666,0.939453125
8,134665,eer,B1_static2d,0.03125,0.125,0.078125,0.9375,0.912109375
8,134665,eer,M1_pls,0.15625,0.1875,0.171875,0.8333333333333334,0.939453125
8,134665,class_midpoint,B1_static2d,0.0,0.1875,0.09375,0.9375,0.912109375
8,134665,class_midpoint,M1_pls,0.0,0.3125,0.15625,0.8958333333333334,0.939453125
8,134665,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.912109375
8,134665,fixed_zero,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.939453125
8,142584,min_acer,B1_static2d,0.0625,0.1875,0.125,0.8958333333333334,0.86328125
8,142584,min_acer,M1_pls,0.09375,0.0,0.046875,0.9375,0.984375
8,142584,min_acer_mid,B1_static2d,0.0625,0.1875,0.125,0.8958333333333334,0.86328125
8,142584,min_acer_mid,M1_pls,0.09375,0.0,0.046875,0.9375,0.984375
8,142584,eer,B1_static2d,0.15625,0.1875,0.171875,0.8333333333333334,0.86328125
8,142584,eer,M1_pls,0.09375,0.0625,0.078125,0.9166666666666666,0.984375
8,142584,class_midpoint,B1_static2d,0.03125,0.3125,0.171875,0.875,0.86328125
8,142584,class_midpoint,M1_pls,0.0,0.4375,0.21875,0.8541666666666666,0.984375
8,142584,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.86328125
8,142584,fixed_zero,M1_pls,0.0625,0.0625,0.0625,0.9375,0.984375
8,150503,min_acer,B1_static2d,0.125,0.25,0.1875,0.8333333333333334,0.916015625
8,150503,min_acer,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.921875
8,150503,min_acer_mid,B1_static2d,0.125,0.25,0.1875,0.8333333333333334,0.916015625
8,150503,min_acer_mid,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.921875
8,150503,eer,B1_static2d,0.15625,0.125,0.140625,0.8541666666666666,0.916015625
8,150503,eer,M1_pls,0.21875,0.25,0.234375,0.7708333333333334,0.921875
8,150503,class_midpoint,B1_static2d,0.03125,0.3125,0.171875,0.875,0.916015625
8,150503,class_midpoint,M1_pls,0.0,0.375,0.1875,0.875,0.921875
8,150503,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.916015625
8,150503,fixed_zero,M1_pls,0.03125,0.25,0.140625,0.8958333333333334,0.921875
